scheme_code,scheme_name,type,plan,option,return_1m,return_3m,return_6m,return_1y,return_3y,return_5y,return_7y,return_10y,results_json,updated_at
147946,BANDHAN SMALL CAP FUND-Direct-Growth,Mutual Fund,Direct,Growth,-4.24,-2.27,-1.6,3.18,24.18,24.84,,,"{""1M"": -4.24, ""3M"": -2.27, ""6M"": -1.6, ""1Y"": 3.18, ""3Y"": 24.18, ""5Y"": 24.84, ""7Y"": null, ""10Y"": null}",2025-12-11
140107,CPSE ETF,ETF,Direct,ETF,-4.11,-2.83,-2.77,0.84,21.71,29.98,27.91,,"{""1M"": -4.11, ""3M"": -2.83, ""6M"": -2.77, ""1Y"": 0.84, ""3Y"": 21.71, ""5Y"": 29.98, ""7Y"": 27.91, ""10Y"": null}",2025-12-11
140089,Nippon India ETF Nifty PSU Bank BeES ETF,ETF,Direct,ETF,-2.92,5.78,10.18,19.35,25.3,32.34,28.49,,"{""1M"": -2.92, ""3M"": 5.78, ""6M"": 10.18, ""1Y"": 19.35, ""3Y"": 25.3, ""5Y"": 32.34, ""7Y"": 28.49, ""10Y"": null}",2025-12-11
119082,DSP Credit Risk Fund-Direct-Growth,Mutual Fund,Direct,Growth,0.2,0.76,1.37,7.52,16.48,14.34,12.39,10.17,"{""1M"": 0.2, ""3M"": 0.76, ""6M"": 1.37, ""1Y"": 7.52, ""3Y"": 16.48, ""5Y"": 14.34, ""7Y"": 12.39, ""10Y"": 10.17}",2025-12-11
120395,Invesco India PSU Equity Fund-Direct-Growth,Mutual Fund,Direct,Growth,-4.17,-0.79,-0.19,5.72,21.86,26.14,25.66,21.08,"{""1M"": -4.17, ""3M"": -0.79, ""6M"": -0.19, ""1Y"": 5.72, ""3Y"": 21.86, ""5Y"": 26.14, ""7Y"": 25.66, ""10Y"": 21.08}",2025-12-11
119539,Aditya Birla Sun Life Medium Term Plan-Direct-Growth,Mutual Fund,Direct,Growth,0.22,1.05,1.89,4.99,10.94,12.31,11.69,10.23,"{""1M"": 0.22, ""3M"": 1.05, ""6M"": 1.89, ""1Y"": 4.99, ""3Y"": 10.94, ""5Y"": 12.31, ""7Y"": 11.69, ""10Y"": 10.23}",2025-12-11
119732,SBI PSU Fund-Direct-Growth,Mutual Fund,Direct,Growth,-3.28,0.38,1.56,6.01,22.15,27.03,25.27,19.1,"{""1M"": -3.28, ""3M"": 0.38, ""6M"": 1.56, ""1Y"": 6.01, ""3Y"": 22.15, ""5Y"": 27.03, ""7Y"": 25.27, ""10Y"": 19.1}",2025-12-11
120821,quant Multi Asset Allocation Fund-Direct-Growth,Mutual Fund,Direct,Growth,0.04,3.07,5.55,10.84,21.41,22.63,25.46,22.04,"{""1M"": 0.04, ""3M"": 3.07, ""6M"": 5.55, ""1Y"": 10.84, ""3Y"": 21.41, ""5Y"": 22.63, ""7Y"": 25.46, ""10Y"": 22.04}",2025-12-11
101837,DSP Credit Risk Fund-Regular-Growth,Mutual Fund,Regular,Growth,0.15,0.64,1.14,7.05,15.58,13.45,11.53,9.35,"{""1M"": 0.15, ""3M"": 0.64, ""6M"": 1.14, ""1Y"": 7.05, ""3Y"": 15.58, ""5Y"": 13.45, ""7Y"": 11.53, ""10Y"": 9.35}",2025-12-11
106929,Kotak Nifty PSU Bank ETF,ETF,Direct,ETF,-2.92,5.78,10.18,19.35,25.3,32.33,28.45,19.07,"{""1M"": -2.92, ""3M"": 5.78, ""6M"": 10.18, ""1Y"": 19.35, ""3Y"": 25.3, ""5Y"": 32.33, ""7Y"": 28.45, ""10Y"": 19.07}",2025-12-11
111803,Aditya Birla Sun Life Medium Term Plan-Regular-Growth,Mutual Fund,Regular,Growth,0.17,0.93,1.68,4.59,10.15,11.51,10.91,9.48,"{""1M"": 0.17, ""3M"": 0.93, ""6M"": 1.68, ""1Y"": 4.59, ""3Y"": 10.15, ""5Y"": 11.51, ""7Y"": 10.91, ""10Y"": 9.48}",2025-12-11
101072,quant Multi Asset Allocation Fund-Regular-Growth,Mutual Fund,Regular,Growth,-0.03,2.88,5.19,10.11,19.83,20.85,23.76,20.8,"{""1M"": -0.03, ""3M"": 2.88, ""6M"": 5.19, ""1Y"": 10.11, ""3Y"": 19.83, ""5Y"": 20.85, ""7Y"": 23.76, ""10Y"": 20.8}",2025-12-11
134387,Aditya Birla Sun Life Credit Risk Fund-Direct-Growth,Mutual Fund,Direct,Growth,0.36,1.3,2.49,6.23,13.05,11.44,10.49,9.6,"{""1M"": 0.36, ""3M"": 1.3, ""6M"": 2.49, ""1Y"": 6.23, ""3Y"": 13.05, ""5Y"": 11.44, ""7Y"": 10.49, ""10Y"": 9.6}",2025-12-11
147844,Aditya Birla Sun Life PSU Equity Fund-Direct-Growth,Mutual Fund,Direct,Growth,-3.24,0.36,1.28,5.4,19.04,25.47,,,"{""1M"": -3.24, ""3M"": 0.36, ""6M"": 1.28, ""1Y"": 5.4, ""3Y"": 19.04, ""5Y"": 25.47, ""7Y"": null, ""10Y"": null}",2025-12-11
134383,Aditya Birla Sun Life Credit Risk Fund-Regular-Growth,Mutual Fund,Regular,Growth,0.31,1.17,2.25,5.74,12.07,10.48,9.55,8.65,"{""1M"": 0.31, ""3M"": 1.17, ""6M"": 2.25, ""1Y"": 5.74, ""3Y"": 12.07, ""5Y"": 10.48, ""7Y"": 9.55, ""10Y"": 8.65}",2025-12-11
127042,Motilal Oswal Midcap Fund-Direct-Growth,Mutual Fund,Direct,Growth,-5.87,-5.04,-4.47,-2.27,18.57,24.18,26.17,21.75,"{""1M"": -5.87, ""3M"": -5.04, ""6M"": -4.47, ""1Y"": -2.27, ""3Y"": 18.57, ""5Y"": 24.18, ""7Y"": 26.17, ""10Y"": 21.75}",2025-12-11
119382,BANK OF INDIA Short Term Income Fund-Direct-Growth,Mutual Fund,Direct,Growth,0.15,0.75,1.44,3.55,8.24,10.19,8.95,7.15,"{""1M"": 0.15, ""3M"": 0.75, ""6M"": 1.44, ""1Y"": 3.55, ""3Y"": 8.24, ""5Y"": 10.19, ""7Y"": 8.95, ""10Y"": 7.15}",2025-12-11
130722,Invesco India Credit Risk Fund-Direct-Growth,Mutual Fund,Direct,Growth,0.33,1.02,1.66,4.51,9.86,9.13,8.36,7.25,"{""1M"": 0.33, ""3M"": 1.02, ""6M"": 1.66, ""1Y"": 4.51, ""3Y"": 9.86, ""5Y"": 9.13, ""7Y"": 8.36, ""10Y"": 7.25}",2025-12-11
120334,ICICI Prudential Multi-Asset Fund-Direct-Growth,Mutual Fund,Direct,Growth,0.06,2.38,4.6,9.28,18.78,20.04,20.88,18.43,"{""1M"": 0.06, ""3M"": 2.38, ""6M"": 4.6, ""1Y"": 9.28, ""3Y"": 18.78, ""5Y"": 20.04, ""7Y"": 20.88, ""10Y"": 18.43}",2025-12-11
120621,ICICI Prudential Infrastructure Fund-Direct-Growth,Mutual Fund,Direct,Growth,-3.48,-1.75,-1.33,3.33,18.46,25.21,26.83,21.83,"{""1M"": -3.48, ""3M"": -1.75, ""6M"": -1.33, ""1Y"": 3.33, ""3Y"": 18.46, ""5Y"": 25.21, ""7Y"": 26.83, ""10Y"": 21.83}",2025-12-11
119393,BANK OF INDIA Conservative Hybrid Fund Fund-Direct-Growth,Mutual Fund,Direct,Growth,-0.93,-0.0,0.42,2.48,6.78,9.25,9.91,8.64,"{""1M"": -0.93, ""3M"": -0.0, ""6M"": 0.42, ""1Y"": 2.48, ""3Y"": 6.78, ""5Y"": 9.25, ""7Y"": 9.91, ""10Y"": 8.64}",2025-12-11
111585,BANK OF INDIA Short Term Income Fund-Regular-Growth,Mutual Fund,Regular,Growth,0.11,0.67,1.29,3.25,7.66,9.65,8.43,6.62,"{""1M"": 0.11, ""3M"": 0.67, ""6M"": 1.29, ""1Y"": 3.25, ""3Y"": 7.66, ""5Y"": 9.65, ""7Y"": 8.43, ""10Y"": 6.62}",2025-12-11
113099,SBI PSU Fund-Regular-Growth,Mutual Fund,Regular,Growth,-3.34,0.22,1.27,5.43,20.76,25.61,24.0,18.04,"{""1M"": -3.34, ""3M"": 0.22, ""6M"": 1.27, ""1Y"": 5.43, ""3Y"": 20.76, ""5Y"": 25.61, ""7Y"": 24.0, ""10Y"": 18.04}",2025-12-11
111712,BANK OF INDIA Conservative Hybrid Fund-Regular-Growth,Mutual Fund,Regular,Growth,-0.98,-0.13,0.18,2.0,5.88,8.44,9.15,7.93,"{""1M"": -0.98, ""3M"": -0.13, ""6M"": 0.18, ""1Y"": 2.0, ""3Y"": 5.88, ""5Y"": 8.44, ""7Y"": 9.15, ""10Y"": 7.93}",2025-12-11
