Monthly Report for the month of December 2025,,,,,,,,,,
Sr ,Scheme Name ,"No. of Schemes as on November 30, 2025","No. of Folios as on November 30, 2025",Funds Mobilized for the month of November 2025 (INR in crore),Repurchase/Redemption for the month of November 2025 (INR in crore),Net Inflow (+ve)/Outflow (-ve) for the month of November 2025 (INR in crore),"Net Assets Under Management as on November 30, 2025 (INR in crore)",Average Net Assets Under Management for the month November 2025 (INR in crore),"No. of segregated portfolios created as on November 30, 2025","Net Assets Under Management in segregated portfolio as on November 30, 2025 (INR in crore)"
I,Income/Debt Oriented Schemes,,,,,,,,,
i,Overnight Fund,37,"7,28,222","6,99,780.56","6,99,526.31",254.25,"79,367.83","1,17,317.69",0, -   
ii,Liquid Fund,42,"24,35,865","4,64,668.91","5,11,976.86","-47,307.95","5,03,143.33","5,75,286.25",0, -   
iii,Ultra Short Duration Fund,25,"7,66,379","24,881.03","42,529.18","-17,648.16","1,31,827.26","1,46,522.96",0, -   
iv,Low Duration Fund,23,"8,51,239","16,806.60","27,052.60","-10,245.99","1,47,063.58","1,54,652.67",0, -   
v,Money Market Fund,26,"5,24,338","82,193.01","1,22,657.36","-40,464.36","3,18,352.49","3,43,897.00",1, -   
vi,Short Duration Fund,24,"5,61,636","3,648.42","9,338.03","-5,689.61","1,36,600.71","1,40,221.98",0, -   
vii,Medium Duration Fund,13,"2,40,819",412.9230689,642.2362192,-229.3131503,"26,252.29","26,375.75",2, -   
viii,Medium to Long Duration Fund,13,"1,02,111",61.09846057,249.0571631,-187.9587025,"11,692.14","11,771.09",0, -   
ix,Long Duration Fund,11,"85,438",70.76227918,1373.929304,-1303.167025,"17,608.27","17,965.21",0, -   
x,Dynamic Bond Fund,22,"2,32,827",440.3743701,1283.450872,-843.0765016,"36,108.34","36,540.31",0, -   
xi,Corporate Bond Fund,21,"5,80,979","3,723.59","11,143.09","-7,419.51","2,07,005.95","2,09,245.40",0, -   
xii,Credit Risk Fund,14,"1,94,207",130.1594904,302.7714882,-172.6119979,"19,929.94","19,965.06",4, -   
xiii,Banking and PSU Fund,21,"2,39,818",769.5658126,"1,745.66",-976.0944402,"79,417.26","79,512.42",0, -   
xiv,Gilt Fund,23,"2,15,424",516.5877536,1312.781896,-796.1941428,"38,514.72","38,808.93",0, -   
xv,Gilt Fund with 10 year constant duration,5,"37,606",43.5632849,146.6369524,-103.0736675,"4,877.11","4,929.85",0, -   
xvi,Floater Fund,12,"1,98,710","2,723.29","2,000.85",722.4357587,"52,217.24","51,726.61",0, -   
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),332,"79,95,618","13,00,870.44","14,33,280.81","-1,32,410.37","18,09,978.46","19,74,739.17",7, -   
,,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,,
i,Multi Cap Fund,32,"1,11,73,881","5,163.28","2,908.33","2,254.95","2,23,101.79","2,21,480.12",0, -   
ii,Large Cap Fund,33,"1,68,70,064","5,499.60","3,932.18","1,567.42","4,18,726.65","4,17,491.58",0, -   
iii,Large & Mid Cap Fund,33,"1,32,97,987","7,079.16","2,985.65","4,093.51","3,31,287.38","3,28,384.34",0, -   
iv,Mid Cap Fund,31,"2,39,87,318","9,004.01","4,828.20","4,175.81","4,61,271.23","4,58,515.52",0, -   
v,Small Cap Fund,33,"2,73,35,457","8,396.08","4,572.26","3,823.82","3,69,003.09","3,66,387.32",0, -   
vi,Dividend Yield Fund,10,"11,85,004",299.8640021,554.1818082,-254.3178061,"32,862.76","32,791.61",0, -   
vii,Value Fund/Contra Fund,25,"88,57,029","3,444.84","2,356.33","1,088.51","2,19,127.72","2,17,176.20",0, -   
viii,Focused Fund,28,"54,15,223","2,720.23","1,663.41","1,056.82","1,74,834.13","1,74,196.74",0, -   
ix,Sectoral/Thematic Funds,238,"3,17,47,483","11,033.94","10,087.96",945.99,"5,37,666.60","5,35,256.97",0, -   
x,ELSS,42,"1,65,56,812","1,431.59","2,149.32",-717.7300932,"2,52,700.01","2,52,252.97",0, -   
xi,Flexi Cap Fund,44,"2,20,50,009","14,910.65","4,891.38","10,019.27","5,51,962.17","5,46,559.61",0, -   
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),549,"17,84,76,267","68,983.25","40,929.19","28,054.06","35,72,543.53","35,50,492.98",0, -   
,,,,,,,,,,
III,Hybrid Schemes,,,,,,,,,
i,Conservative Hybrid Fund,18,"5,75,909",381.5875511,499.9823243,-118.3947732,"29,769.24","29,829.43",1, -   
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"61,34,634","3,824.21","2,310.35","1,513.86","2,53,233.73","2,53,602.36",1, -   
iii,Dynamic Asset Allocation/Balanced Advantage Fund,35,"55,95,687","4,660.78","3,563.58","1,097.20","3,23,324.83","3,23,093.25",0, -   
iv,Multi Asset Allocation Fund,33,"42,49,832","8,927.23","1,501.25","7,425.98","1,64,730.83","1,73,823.59",0, -   
v,Arbitrage Fund,36,"7,41,825","26,537.85","26,411.54",126.31,"2,78,127.94","3,26,834.54",0, -   
vi,Equity Savings Fund,25,"5,25,857","2,578.17","1,867.56",710.62,"51,235.17","54,928.03",1, -   
,Sub Total - III (i+ii+iii+iv+v+vi),178,"1,78,23,744","46,909.83","36,154.26","10,755.57","11,00,421.73","11,62,111.20",3, -   
,,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,,
i,Retirement Fund,29,"30,42,915",299.8941114,178.8978223,120.9962891,"32,828.51","32,711.56", -   , -   
ii,Childrens Fund,12,"31,91,201",302.7217974,78.3922074,224.32959,"25,626.16","25,571.77", -   , -   
,Sub Total - IV (i+ii),41,"62,34,116",602.6159088,257.2900297,345.3258791,"58,454.67","58,283.32", -   , -   
,,,,,,,,,,
V,Other Schemes,,,,,,,,,
i,Index Funds,352,"1,44,01,091","10,596.37","8,865.87","1,730.50","3,25,821.40","3,23,759.43", -   , -   
ii,GOLD ETF,25,"1,02,25,561","11,850.59",203.8481642,"11,646.74","1,27,896.38","1,20,867.22", -   , -   
iii,Other ETFs,286,"2,39,69,652","25,716.55","12,517.11","13,199.44","9,66,503.97","9,47,036.18", -   , -   
iv,Fund of funds investing overseas,52,"16,38,654",829.6151283,683.0461667,146.5689616,"36,584.53","36,466.87", -   , -   
,Sub Total - V (i+ii+iii+iv),715,"5,02,34,958","48,993.11","22,269.87","26,723.24","14,56,806.28","14,28,129.70", -   , -   
,,,,,,,,,,
,Total A-Open ended Schemes,"1,815","26,07,64,703","14,66,359.25","15,32,891.43","-66,532.18","79,98,204.67","81,73,756.38",10, -   
