Fund Name,Fund House,Category,Sub Category,Groww Rating,Risk,Return 1Y (%),Return 3Y (%),Return 5Y (%),Sub Category Avg Return 3Y (%),Expense Ratio (%),AUM (Cr),NAV,Min SIP,Fund Manager,Groww Rating,Launch Date
SBI Gold Fund,SBI Mutual Fund,Commodities,Gold,5.0,Very High,64.21,32.19,20.05,32.42846153846154,0.1,8456.7765,39.2109,500.0,Raviprakash Sharma,5.0,2025-12-11
Motilal Oswal Midcap Fund,Motilal Oswal Mutual Fund,Equity,Mid Cap,5.0,Very High,-12.85,23.91,29.57,20.8555,0.71,38002.6833,112.3084,500.0,"Abhiroop Mukherjee, Akash Singhania, Siddharth Bothra",5.0,2025-12-11
Parag Parikh Flexi Cap Fund,PPFAS Mutual Fund,Equity,Flexi Cap,5.0,Very High,6.5,22.0,21.19,16.186388888888892,0.63,125799.63205351,94.5666,1000.0,"Raunak Onkar, Rajeev Thakkar, Raj Mehta",5.0,2025-12-11
Bandhan Small Cap Fund,IDFC Mutual Fund,Equity,Small Cap,5.0,Very High,-5.04,29.97,28.37,19.185333333333332,0.42,17380.2935,50.164,100.0,Anoop Bhaskar,5.0,2025-12-11
HDFC Silver ETF FoF Fund,HDFC Mutual Fund,Commodities,Silver,,Very High,93.81,38.64,,38.462,0.18,1547.8598,30.4834,100.0,Krishan Kumar Daga,,2025-12-11
Nippon India Small Cap Fund,Nippon India Mutual Fund,Equity,Small Cap,4.0,Very High,-9.6,20.72,28.8,19.185333333333332,0.64,68571.851,183.6915,100.0,"Samir Rachh, Dhrumil Shah",4.0,2025-12-11
HDFC Flexi Cap Fund,HDFC Mutual Fund,Equity,Flexi Cap,5.0,Very High,7.98,21.27,24.97,16.186388888888892,0.66,94068.725,2250.884,100.0,Prashant Jain,5.0,2025-12-11
JioBlackRock Flexi Cap Fund,JioBlackRock Mutual Fund,Equity,Flexi Cap,,Very High,,,,16.186388888888892,0.5,2231.64121198,10.04,500.0,Tanvi Kacheria,,2025-12-11
Quant Small Cap Fund,Quant Mutual Fund,Equity,Small Cap,4.0,Very High,-8.05,21.28,30.89,19.185333333333332,0.75,30169.7059,272.2102,1000.0,Pushpa Rai,4.0,2025-12-11
HDFC Mid Cap Fund,HDFC Mutual Fund,Equity,Mid Cap,5.0,Very High,3.69,25.16,26.47,20.8555,0.71,92168.8529,221.139,100.0,Chirag Setalvad,5.0,2025-12-11
Nippon India Multi Cap Fund,Nippon India Mutual Fund,Equity,Multi Cap,5.0,Very High,0.12,21.56,26.47,18.671999999999993,0.71,50048.305,327.9572,100.0,Sailesh Raj Bhan,5.0,2025-12-11
Nippon India Large Cap Fund,Nippon India Mutual Fund,Equity,Large Cap,5.0,Very High,4.49,19.04,21.75,14.514880952380954,0.66,50312.3215,104.014,100.0,"Ashwani Kumar, Sailesh Raj Bhan",5.0,2025-12-11
SBI PSU Fund,SBI Mutual Fund,Equity,Thematic,,Very High,0.32,27.25,29.96,18.024875,0.84,5714.1444,36.1149,500.0,Richard Dsouza,,2025-12-11
ICICI Prudential Large Cap Fund,ICICI Prudential Mutual Fund,Equity,Large Cap,5.0,Very High,6.55,17.86,19.2,14.514880952380954,0.86,78159.80094897,125.82,100.0,"S Naren, Rajat Chandak",5.0,2025-12-11
